2026-03-26 03:00:54 - [EVENT]:  Wire log started.
2026-03-26 03:00:55 - [EVENT]:  INPUT_CAPTURE: d
2026-03-26 03:00:55 - [EVENT]:  INPUT_CAPTURE: o
2026-03-26 03:00:56 - [EVENT]:  INPUT_CAPTURE: e
2026-03-26 03:00:56 - [EVENT]:  INPUT_CAPTURE: s
2026-03-26 03:00:56 - [EVENT]:  INPUT_CAPTURE:  
2026-03-26 03:00:56 - [EVENT]:  INPUT_CAPTURE: t
2026-03-26 03:00:56 - [EVENT]:  INPUT_CAPTURE: h
2026-03-26 03:00:56 - [EVENT]:  INPUT_CAPTURE: i
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: s
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE:  
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: f
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: i
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: n
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: a
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: l
2026-03-26 03:00:57 - [EVENT]:  INPUT_CAPTURE: l
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE: y
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE:  
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE: w
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE: o
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE: r
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE: k
2026-03-26 03:00:58 - [EVENT]:  INPUT_CAPTURE:  
2026-03-26 03:00:59 - [EVENT]:  INPUT_CAPTURE: p
2026-03-26 03:00:59 - [EVENT]:  INPUT_CAPTURE: l
2026-03-26 03:00:59 - [EVENT]:  INPUT_CAPTURE: e
2026-03-26 03:00:59 - [EVENT]:  INPUT_CAPTURE: a
2026-03-26 03:00:59 - [EVENT]:  INPUT_CAPTURE: s
2026-03-26 03:00:59 - [EVENT]:  INPUT_CAPTURE: e
2026-03-26 03:01:00 - [EVENT]:  INPUT_CAPTURE: e
2026-03-26 03:01:00 - [EVENT]:  INPUT_CAPTURE: 

2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE: t
2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE: h
2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE: a
2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE: n
2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE: k
2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE:  
2026-03-26 03:01:05 - [EVENT]:  INPUT_CAPTURE: y
2026-03-26 03:01:06 - [EVENT]:  INPUT_CAPTURE: o
2026-03-26 03:01:06 - [EVENT]:  INPUT_CAPTURE: u
2026-03-26 03:01:06 - [EVENT]:  INPUT_CAPTURE: 

2026-03-26 03:01:07 - [EVENT]:  INPUT_CAPTURE: w
2026-03-26 03:01:07 - [EVENT]:  INPUT_CAPTURE: o
2026-03-26 03:01:07 - [EVENT]:  INPUT_CAPTURE: w
2026-03-26 03:01:08 - [EVENT]:  INPUT_CAPTURE: 

2026-03-26 03:01:12 - [EVENT]:  INPUT_CAPTURE: [ctrl_l]
2026-03-26 03:01:12 - [EVENT]:  INPUT_CAPTURE: 
2026-03-26 03:01:13 - [EVENT]:  INPUT_CAPTURE: c
2026-03-26 03:01:13 - [EVENT]:  INPUT_CAPTURE: c
2026-03-26 03:01:14 - [EVENT]:  INPUT_CAPTURE: c
2026-03-26 03:01:14 - [EVENT]:  INPUT_CAPTURE: c
2026-03-26 03:01:15 - [EVENT]:  INPUT_CAPTURE: c
2026-03-26 03:01:15 - [EVENT]:  INPUT_CAPTURE: c
